,Torneo,jornadaCompleta,jornadaNumero,fechaPartido,diaFechaPartido,mesFechaPartido,anoFechaPartido,equipoLocal,equipoLocalResultado,equipoVisitante,equipoVisitanteResultado,resultado
0,Liga Profesional Argentina 2017,Jornada 1,1,30 Ago 16,30,Ago,16,Aldosivi,0,Colón,2,0-2
1,Liga Profesional Argentina 2017,Jornada 1,1,28 Ago 16,28,Ago,16,River Plate,4,Banfield,1,4-1
2,Liga Profesional Argentina 2017,Jornada 1,1,27 Ago 16,27,Ago,16,Racing Club,1,Talleres Córdoba,1,1-1
3,Liga Profesional Argentina 2017,Jornada 1,1,28 Ago 16,28,Ago,16,San Lorenzo,2,San Martín San Juan,2,2-2
4,Liga Profesional Argentina 2017,Jornada 1,1,27 Ago 16,27,Ago,16,Rosario Central,0,Defensa y Justicia,0,0-0
5,Liga Profesional Argentina 2017,Jornada 1,1,27 Ago 16,27,Ago,16,Gimnasia La Plata,2,Vélez Sarsfield,0,2-0
6,Liga Profesional Argentina 2017,Jornada 1,1,30 Ago 16,30,Ago,16,Temperley,1,Patronato,0,1-0
7,Liga Profesional Argentina 2017,Jornada 1,1,28 Ago 16,28,Ago,16,Atl.Tucumán,1,Atletico Rafaela,0,1-0
8,Liga Profesional Argentina 2017,Jornada 1,1,27 Ago 16,27,Ago,16,Sarmiento,1,Arsenal de Sarandí,0,1-0
9,Liga Profesional Argentina 2017,Jornada 1,1,28 Ago 16,28,Ago,16,Tigre,0,Estudiantes La Plata,3,0-3
10,Liga Profesional Argentina 2017,Jornada 1,1,28 Ago 16,28,Ago,16,Quilmes,0,Newell's Old Boys,1,0-1
11,Liga Profesional Argentina 2017,Jornada 1,1,27 Ago 16,27,Ago,16,Godoy Cruz,1,CA Huracán,0,1-0
12,Liga Profesional Argentina 2017,Jornada 1,1,28 Ago 16,28,Ago,16,Belgrano,0,Independiente,1,0-1
13,Liga Profesional Argentina 2017,Jornada 1,1,29 Ago 16,29,Ago,16,Lanús,1,Boca Juniors,0,1-0
14,Liga Profesional Argentina 2017,Jornada 1,1,28 Ago 16,28,Ago,16,Unión Santa Fe,1,Olimpo,0,1-0
15,Liga Profesional Argentina 2017,Jornada 2,2,10 Sep 16,10,Sep,16,Unión Santa Fe,0,Aldosivi,0,0-0
16,Liga Profesional Argentina 2017,Jornada 2,2,10 Sep 16,10,Sep,16,Olimpo,0,Lanús,0,0-0
17,Liga Profesional Argentina 2017,Jornada 2,2,11 Sep 16,11,Sep,16,Boca Juniors,3,Belgrano,0,3-0
18,Liga Profesional Argentina 2017,Jornada 2,2,11 Sep 16,11,Sep,16,Independiente,2,Godoy Cruz,0,2-0
19,Liga Profesional Argentina 2017,Jornada 2,2,10 Sep 16,10,Sep,16,CA Huracán,1,Quilmes,1,1-1
20,Liga Profesional Argentina 2017,Jornada 2,2,11 Sep 16,11,Sep,16,Newell's Old Boys,1,Tigre,0,1-0
21,Liga Profesional Argentina 2017,Jornada 2,2,11 Sep 16,11,Sep,16,Estudiantes La Plata,1,Sarmiento,0,1-0
22,Liga Profesional Argentina 2017,Jornada 2,2,13 Sep 16,13,Sep,16,Arsenal de Sarandí,1,Atl.Tucumán,3,1-3
23,Liga Profesional Argentina 2017,Jornada 2,2,13 Sep 16,13,Sep,16,Atletico Rafaela,1,Temperley,0,1-0
24,Liga Profesional Argentina 2017,Jornada 2,2,10 Sep 16,10,Sep,16,Patronato,0,Gimnasia La Plata,1,0-1
25,Liga Profesional Argentina 2017,Jornada 2,2,11 Sep 16,11,Sep,16,Vélez Sarsfield,2,Rosario Central,0,2-0
26,Liga Profesional Argentina 2017,Jornada 2,2,10 Sep 16,10,Sep,16,Defensa y Justicia,0,San Lorenzo,2,0-2
27,Liga Profesional Argentina 2017,Jornada 2,2,10 Sep 16,10,Sep,16,San Martín San Juan,0,Racing Club,2,0-2
28,Liga Profesional Argentina 2017,Jornada 2,2,12 Sep 16,12,Sep,16,Talleres Córdoba,0,River Plate,1,0-1
29,Liga Profesional Argentina 2017,Jornada 2,2,10 Sep 16,10,Sep,16,Banfield,0,Colón,0,0-0
30,Liga Profesional Argentina 2017,Jornada 3,3,17 Sep 16,17,Sep,16,Aldosivi,1,Banfield,3,1-3
31,Liga Profesional Argentina 2017,Jornada 3,3,17 Sep 16,17,Sep,16,Colón,1,Talleres Córdoba,0,1-0
32,Liga Profesional Argentina 2017,Jornada 3,3,18 Sep 16,18,Sep,16,River Plate,1,San Martín San Juan,1,1-1
33,Liga Profesional Argentina 2017,Jornada 3,3,19 Sep 16,19,Sep,16,Racing Club,1,Defensa y Justicia,1,1-1
34,Liga Profesional Argentina 2017,Jornada 3,3,17 Sep 16,17,Sep,16,San Lorenzo,2,Vélez Sarsfield,1,2-1
35,Liga Profesional Argentina 2017,Jornada 3,3,17 Sep 16,17,Sep,16,Rosario Central,2,Patronato,1,2-1
36,Liga Profesional Argentina 2017,Jornada 3,3,20 Sep 16,20,Sep,16,Gimnasia La Plata,0,Atletico Rafaela,1,0-1
37,Liga Profesional Argentina 2017,Jornada 3,3,18 Sep 16,18,Sep,16,Temperley,1,Arsenal de Sarandí,1,1-1
38,Liga Profesional Argentina 2017,Jornada 3,3,18 Sep 16,18,Sep,16,Atl.Tucumán,0,Estudiantes La Plata,2,0-2
39,Liga Profesional Argentina 2017,Jornada 3,3,18 Sep 16,18,Sep,16,Sarmiento,1,Newell's Old Boys,1,1-1
40,Liga Profesional Argentina 2017,Jornada 3,3,20 Sep 16,20,Sep,16,Tigre,1,CA Huracán,1,1-1
41,Liga Profesional Argentina 2017,Jornada 3,3,17 Sep 16,17,Sep,16,Quilmes,1,Independiente,1,1-1
42,Liga Profesional Argentina 2017,Jornada 3,3,18 Sep 16,18,Sep,16,Godoy Cruz,1,Boca Juniors,1,1-1
43,Liga Profesional Argentina 2017,Jornada 3,3,18 Sep 16,18,Sep,16,Belgrano,0,Olimpo,0,0-0
44,Liga Profesional Argentina 2017,Jornada 3,3,17 Sep 16,17,Sep,16,Lanús,0,Unión Santa Fe,1,0-1
45,Liga Profesional Argentina 2017,Jornada 4,4,25 Sep 16,25,Sep,16,Lanús,0,Aldosivi,0,0-0
46,Liga Profesional Argentina 2017,Jornada 4,4,25 Sep 16,25,Sep,16,Unión Santa Fe,0,Belgrano,2,0-2
47,Liga Profesional Argentina 2017,Jornada 4,4,24 Sep 16,24,Sep,16,Olimpo,3,Godoy Cruz,0,3-0
48,Liga Profesional Argentina 2017,Jornada 4,4,25 Sep 16,25,Sep,16,Boca Juniors,4,Quilmes,1,4-1
49,Liga Profesional Argentina 2017,Jornada 4,4,25 Sep 16,25,Sep,16,Independiente,1,Tigre,1,1-1
50,Liga Profesional Argentina 2017,Jornada 4,4,25 Sep 16,25,Sep,16,CA Huracán,0,Sarmiento,0,0-0
51,Liga Profesional Argentina 2017,Jornada 4,4,24 Sep 16,24,Sep,16,Newell's Old Boys,3,Atl.Tucumán,1,3-1
52,Liga Profesional Argentina 2017,Jornada 4,4,25 Sep 16,25,Sep,16,Estudiantes La Plata,3,Temperley,0,3-0
53,Liga Profesional Argentina 2017,Jornada 4,4,27 Sep 16,27,Sep,16,Arsenal de Sarandí,2,Gimnasia La Plata,2,2-2
54,Liga Profesional Argentina 2017,Jornada 4,4,24 Sep 16,24,Sep,16,Atletico Rafaela,0,Rosario Central,0,0-0
55,Liga Profesional Argentina 2017,Jornada 4,4,25 Sep 16,25,Sep,16,Patronato,1,San Lorenzo,1,1-1
56,Liga Profesional Argentina 2017,Jornada 4,4,24 Sep 16,24,Sep,16,Vélez Sarsfield,0,Racing Club,3,0-3
57,Liga Profesional Argentina 2017,Jornada 4,4,26 Sep 16,26,Sep,16,Defensa y Justicia,3,River Plate,3,3-3
58,Liga Profesional Argentina 2017,Jornada 4,4,27 Sep 16,27,Sep,16,San Martín San Juan,0,Colón,0,0-0
59,Liga Profesional Argentina 2017,Jornada 4,4,25 Sep 16,25,Sep,16,Talleres Córdoba,0,Banfield,0,0-0
60,Liga Profesional Argentina 2017,Jornada 5,5,01 Oct 16,01,Oct,16,Aldosivi,2,Talleres Córdoba,1,2-1
61,Liga Profesional Argentina 2017,Jornada 5,5,02 Oct 16,02,Oct,16,Banfield,3,San Martín San Juan,2,3-2
62,Liga Profesional Argentina 2017,Jornada 5,5,02 Oct 16,02,Oct,16,Colón,1,Defensa y Justicia,0,1-0
63,Liga Profesional Argentina 2017,Jornada 5,5,02 Oct 16,02,Oct,16,River Plate,3,Vélez Sarsfield,0,3-0
64,Liga Profesional Argentina 2017,Jornada 5,5,01 Oct 16,01,Oct,16,Racing Club,2,Patronato,0,2-0
65,Liga Profesional Argentina 2017,Jornada 5,5,02 Oct 16,02,Oct,16,San Lorenzo,2,Atletico Rafaela,1,2-1
66,Liga Profesional Argentina 2017,Jornada 5,5,01 Oct 16,01,Oct,16,Rosario Central,5,Arsenal de Sarandí,0,5-0
67,Liga Profesional Argentina 2017,Jornada 5,5,02 Oct 16,02,Oct,16,Gimnasia La Plata,0,Estudiantes La Plata,0,0-0
68,Liga Profesional Argentina 2017,Jornada 5,5,01 Oct 16,01,Oct,16,Temperley,0,Newell's Old Boys,0,0-0
69,Liga Profesional Argentina 2017,Jornada 5,5,04 Oct 16,04,Oct,16,Atl.Tucumán,0,CA Huracán,2,0-2
70,Liga Profesional Argentina 2017,Jornada 5,5,02 Oct 16,02,Oct,16,Sarmiento,0,Independiente,1,0-1
71,Liga Profesional Argentina 2017,Jornada 5,5,03 Oct 16,03,Oct,16,Tigre,1,Boca Juniors,1,1-1
72,Liga Profesional Argentina 2017,Jornada 5,5,01 Oct 16,01,Oct,16,Quilmes,2,Olimpo,1,2-1
73,Liga Profesional Argentina 2017,Jornada 5,5,01 Oct 16,01,Oct,16,Godoy Cruz,2,Unión Santa Fe,1,2-1
74,Liga Profesional Argentina 2017,Jornada 5,5,02 Oct 16,02,Oct,16,Belgrano,1,Lanús,1,1-1
75,Liga Profesional Argentina 2017,Jornada 6,6,15 Oct 16,15,Oct,16,Belgrano,0,Aldosivi,0,0-0
76,Liga Profesional Argentina 2017,Jornada 6,6,16 Oct 16,16,Oct,16,Lanús,3,Godoy Cruz,0,3-0
77,Liga Profesional Argentina 2017,Jornada 6,6,18 Oct 16,18,Oct,16,Unión Santa Fe,1,Quilmes,1,1-1
78,Liga Profesional Argentina 2017,Jornada 6,6,16 Oct 16,16,Oct,16,Olimpo,1,Tigre,4,1-4
79,Liga Profesional Argentina 2017,Jornada 6,6,16 Oct 16,16,Oct,16,Boca Juniors,2,Sarmiento,0,2-0
80,Liga Profesional Argentina 2017,Jornada 6,6,16 Oct 16,16,Oct,16,Independiente,0,Atl.Tucumán,2,0-2
81,Liga Profesional Argentina 2017,Jornada 6,6,15 Oct 16,15,Oct,16,CA Huracán,1,Temperley,2,1-2
82,Liga Profesional Argentina 2017,Jornada 6,6,16 Oct 16,16,Oct,16,Newell's Old Boys,1,Gimnasia La Plata,0,1-0
83,Liga Profesional Argentina 2017,Jornada 6,6,15 Oct 16,15,Oct,16,Estudiantes La Plata,3,Rosario Central,2,3-2
84,Liga Profesional Argentina 2017,Jornada 6,6,16 Oct 16,16,Oct,16,Arsenal de Sarandí,1,San Lorenzo,3,1-3
85,Liga Profesional Argentina 2017,Jornada 6,6,15 Oct 16,15,Oct,16,Atletico Rafaela,3,Racing Club,2,3-2
86,Liga Profesional Argentina 2017,Jornada 6,6,17 Oct 16,17,Oct,16,Patronato,2,River Plate,1,2-1
87,Liga Profesional Argentina 2017,Jornada 6,6,15 Oct 16,15,Oct,16,Vélez Sarsfield,2,Colón,1,2-1
88,Liga Profesional Argentina 2017,Jornada 6,6,15 Oct 16,15,Oct,16,Defensa y Justicia,1,Banfield,0,1-0
89,Liga Profesional Argentina 2017,Jornada 6,6,15 Oct 16,15,Oct,16,San Martín San Juan,1,Talleres Córdoba,3,1-3
90,Liga Profesional Argentina 2017,Jornada 7,7,25 Oct 16,25,Oct,16,Aldosivi,1,San Martín San Juan,2,1-2
91,Liga Profesional Argentina 2017,Jornada 7,7,22 Oct 16,22,Oct,16,Talleres Córdoba,2,Defensa y Justicia,0,2-0
92,Liga Profesional Argentina 2017,Jornada 7,7,23 Oct 16,23,Oct,16,Banfield,1,Vélez Sarsfield,0,1-0
93,Liga Profesional Argentina 2017,Jornada 7,7,22 Oct 16,22,Oct,16,Colón,0,Patronato,1,0-1
94,Liga Profesional Argentina 2017,Jornada 7,7,23 Oct 16,23,Oct,16,River Plate,1,Atletico Rafaela,0,1-0
95,Liga Profesional Argentina 2017,Jornada 7,7,22 Oct 16,22,Oct,16,Racing Club,1,Arsenal de Sarandí,0,1-0
96,Liga Profesional Argentina 2017,Jornada 7,7,23 Oct 16,23,Oct,16,San Lorenzo,1,Estudiantes La Plata,2,1-2
97,Liga Profesional Argentina 2017,Jornada 7,7,23 Oct 16,23,Oct,16,Rosario Central,0,Newell's Old Boys,1,0-1
98,Liga Profesional Argentina 2017,Jornada 7,7,23 Oct 16,23,Oct,16,Gimnasia La Plata,1,CA Huracán,0,1-0
99,Liga Profesional Argentina 2017,Jornada 7,7,22 Oct 16,22,Oct,16,Temperley,0,Independiente,1,0-1
100,Liga Profesional Argentina 2017,Jornada 7,7,24 Oct 16,24,Oct,16,Atl.Tucumán,2,Boca Juniors,2,2-2
101,Liga Profesional Argentina 2017,Jornada 7,7,22 Oct 16,22,Oct,16,Sarmiento,1,Olimpo,1,1-1
102,Liga Profesional Argentina 2017,Jornada 7,7,23 Oct 16,23,Oct,16,Tigre,3,Unión Santa Fe,1,3-1
103,Liga Profesional Argentina 2017,Jornada 7,7,22 Oct 16,22,Oct,16,Quilmes,1,Lanús,0,1-0
104,Liga Profesional Argentina 2017,Jornada 7,7,22 Oct 16,22,Oct,16,Godoy Cruz,2,Belgrano,0,2-0
105,Liga Profesional Argentina 2017,Jornada 8,8,30 Oct 16,30,Oct,16,Godoy Cruz,3,Aldosivi,1,3-1
106,Liga Profesional Argentina 2017,Jornada 8,8,29 Oct 16,29,Oct,16,Belgrano,0,Quilmes,0,0-0
107,Liga Profesional Argentina 2017,Jornada 8,8,30 Oct 16,30,Oct,16,Lanús,1,Tigre,1,1-1
108,Liga Profesional Argentina 2017,Jornada 8,8,01 Nov 16,01,Nov,16,Unión Santa Fe,1,Sarmiento,0,1-0
109,Liga Profesional Argentina 2017,Jornada 8,8,29 Oct 16,29,Oct,16,Olimpo,2,Atl.Tucumán,1,2-1
110,Liga Profesional Argentina 2017,Jornada 8,8,29 Oct 16,29,Oct,16,Boca Juniors,4,Temperley,0,4-0
111,Liga Profesional Argentina 2017,Jornada 8,8,29 Oct 16,29,Oct,16,Independiente,0,Gimnasia La Plata,0,0-0
112,Liga Profesional Argentina 2017,Jornada 8,8,29 Oct 16,29,Oct,16,CA Huracán,1,Rosario Central,1,1-1
113,Liga Profesional Argentina 2017,Jornada 8,8,30 Oct 16,30,Oct,16,Newell's Old Boys,2,San Lorenzo,2,2-2
114,Liga Profesional Argentina 2017,Jornada 8,8,30 Oct 16,30,Oct,16,Estudiantes La Plata,2,Racing Club,1,2-1
115,Liga Profesional Argentina 2017,Jornada 8,8,31 Oct 16,31,Oct,16,Arsenal de Sarandí,2,River Plate,2,2-2
116,Liga Profesional Argentina 2017,Jornada 8,8,30 Oct 16,30,Oct,16,Atletico Rafaela,0,Colón,2,0-2
117,Liga Profesional Argentina 2017,Jornada 8,8,29 Oct 16,29,Oct,16,Patronato,2,Banfield,0,2-0
118,Liga Profesional Argentina 2017,Jornada 8,8,29 Oct 16,29,Oct,16,Vélez Sarsfield,0,Talleres Córdoba,2,0-2
119,Liga Profesional Argentina 2017,Jornada 8,8,31 Oct 16,31,Oct,16,Defensa y Justicia,0,San Martín San Juan,0,0-0
120,Liga Profesional Argentina 2017,Jornada 9,9,07 Nov 16,07,Nov,16,Aldosivi,0,Defensa y Justicia,0,0-0
121,Liga Profesional Argentina 2017,Jornada 9,9,05 Nov 16,05,Nov,16,San Martín San Juan,2,Vélez Sarsfield,0,2-0
122,Liga Profesional Argentina 2017,Jornada 9,9,06 Nov 16,06,Nov,16,Talleres Córdoba,1,Patronato,0,1-0
123,Liga Profesional Argentina 2017,Jornada 9,9,06 Nov 16,06,Nov,16,Banfield,1,Atletico Rafaela,1,1-1
124,Liga Profesional Argentina 2017,Jornada 9,9,05 Nov 16,05,Nov,16,Colón,1,Arsenal de Sarandí,0,1-0
125,Liga Profesional Argentina 2017,Jornada 9,9,05 Nov 16,05,Nov,16,River Plate,1,Estudiantes La Plata,1,1-1
126,Liga Profesional Argentina 2017,Jornada 9,9,05 Nov 16,05,Nov,16,Racing Club,2,Newell's Old Boys,1,2-1
127,Liga Profesional Argentina 2017,Jornada 9,9,06 Nov 16,06,Nov,16,San Lorenzo,2,CA Huracán,0,2-0
128,Liga Profesional Argentina 2017,Jornada 9,9,06 Nov 16,06,Nov,16,Rosario Central,0,Independiente,0,0-0
129,Liga Profesional Argentina 2017,Jornada 9,9,07 Nov 16,07,Nov,16,Gimnasia La Plata,0,Boca Juniors,3,0-3
130,Liga Profesional Argentina 2017,Jornada 9,9,05 Nov 16,05,Nov,16,Temperley,0,Olimpo,0,0-0
131,Liga Profesional Argentina 2017,Jornada 9,9,09 Nov 16,09,Nov,16,Atl.Tucumán,1,Unión Santa Fe,1,1-1
132,Liga Profesional Argentina 2017,Jornada 9,9,05 Nov 16,05,Nov,16,Sarmiento,1,Lanús,2,1-2
133,Liga Profesional Argentina 2017,Jornada 9,9,06 Nov 16,06,Nov,16,Tigre,2,Belgrano,1,2-1
134,Liga Profesional Argentina 2017,Jornada 9,9,05 Nov 16,05,Nov,16,Quilmes,1,Godoy Cruz,0,1-0
135,Liga Profesional Argentina 2017,Jornada 10,10,20 Nov 16,20,Nov,16,Quilmes,1,Aldosivi,0,1-0
136,Liga Profesional Argentina 2017,Jornada 10,10,19 Nov 16,19,Nov,16,Godoy Cruz,2,Tigre,1,2-1
137,Liga Profesional Argentina 2017,Jornada 10,10,20 Nov 16,20,Nov,16,Belgrano,1,Sarmiento,2,1-2
138,Liga Profesional Argentina 2017,Jornada 10,10,19 Nov 16,19,Nov,16,Lanús,1,Atl.Tucumán,0,1-0
139,Liga Profesional Argentina 2017,Jornada 10,10,19 Nov 16,19,Nov,16,Unión Santa Fe,2,Temperley,1,2-1
140,Liga Profesional Argentina 2017,Jornada 10,10,21 Nov 16,21,Nov,16,Olimpo,0,Gimnasia La Plata,0,0-0
141,Liga Profesional Argentina 2017,Jornada 10,10,20 Nov 16,20,Nov,16,Boca Juniors,1,Rosario Central,1,1-1
142,Liga Profesional Argentina 2017,Jornada 10,10,20 Nov 16,20,Nov,16,Independiente,1,San Lorenzo,2,1-2
143,Liga Profesional Argentina 2017,Jornada 10,10,20 Nov 16,20,Nov,16,CA Huracán,1,Racing Club,1,1-1
144,Liga Profesional Argentina 2017,Jornada 10,10,21 Nov 16,21,Nov,16,Newell's Old Boys,1,River Plate,0,1-0
145,Liga Profesional Argentina 2017,Jornada 10,10,19 Nov 16,19,Nov,16,Estudiantes La Plata,1,Colón,0,1-0
146,Liga Profesional Argentina 2017,Jornada 10,10,19 Nov 16,19,Nov,16,Arsenal de Sarandí,1,Banfield,3,1-3
147,Liga Profesional Argentina 2017,Jornada 10,10,20 Nov 16,20,Nov,16,Atletico Rafaela,0,Talleres Córdoba,1,0-1
148,Liga Profesional Argentina 2017,Jornada 10,10,22 Nov 16,22,Nov,16,Patronato,3,San Martín San Juan,0,3-0
149,Liga Profesional Argentina 2017,Jornada 10,10,13 Nov 16,13,Nov,16,Vélez Sarsfield,2,Defensa y Justicia,1,2-1
150,Liga Profesional Argentina 2017,Jornada 11,11,27 Nov 16,27,Nov,16,Aldosivi,0,Vélez Sarsfield,0,0-0
151,Liga Profesional Argentina 2017,Jornada 11,11,28 Nov 16,28,Nov,16,Defensa y Justicia,1,Patronato,2,1-2
152,Liga Profesional Argentina 2017,Jornada 11,11,29 Nov 16,29,Nov,16,San Martín San Juan,0,Atletico Rafaela,3,0-3
153,Liga Profesional Argentina 2017,Jornada 11,11,26 Nov 16,26,Nov,16,Talleres Córdoba,0,Arsenal de Sarandí,0,0-0
154,Liga Profesional Argentina 2017,Jornada 11,11,26 Nov 16,26,Nov,16,Banfield,3,Estudiantes La Plata,2,3-2
155,Liga Profesional Argentina 2017,Jornada 11,11,26 Nov 16,26,Nov,16,Colón,1,Newell's Old Boys,2,1-2
156,Liga Profesional Argentina 2017,Jornada 11,11,27 Nov 16,27,Nov,16,River Plate,1,CA Huracán,0,1-0
157,Liga Profesional Argentina 2017,Jornada 11,11,28 Nov 16,28,Nov,16,Racing Club,3,Independiente,0,3-0
158,Liga Profesional Argentina 2017,Jornada 11,11,27 Nov 16,27,Nov,16,San Lorenzo,1,Boca Juniors,2,1-2
159,Liga Profesional Argentina 2017,Jornada 11,11,27 Nov 16,27,Nov,16,Rosario Central,1,Olimpo,1,1-1
160,Liga Profesional Argentina 2017,Jornada 11,11,28 Nov 16,28,Nov,16,Gimnasia La Plata,1,Unión Santa Fe,1,1-1
161,Liga Profesional Argentina 2017,Jornada 11,11,25 Nov 16,25,Nov,16,Temperley,1,Lanús,3,1-3
162,Liga Profesional Argentina 2017,Jornada 11,11,27 Nov 16,27,Nov,16,Atl.Tucumán,0,Belgrano,0,0-0
163,Liga Profesional Argentina 2017,Jornada 11,11,27 Nov 16,27,Nov,16,Sarmiento,2,Godoy Cruz,2,2-2
164,Liga Profesional Argentina 2017,Jornada 11,11,26 Nov 16,26,Nov,16,Tigre,3,Quilmes,0,3-0
165,Liga Profesional Argentina 2017,Jornada 12,12,03 Dic 16,03,Dic,16,Tigre,1,Aldosivi,1,1-1
166,Liga Profesional Argentina 2017,Jornada 12,12,03 Dic 16,03,Dic,16,Quilmes,1,Sarmiento,3,1-3
167,Liga Profesional Argentina 2017,Jornada 12,12,04 Dic 16,04,Dic,16,Godoy Cruz,1,Atl.Tucumán,2,1-2
168,Liga Profesional Argentina 2017,Jornada 12,12,04 Dic 16,04,Dic,16,Belgrano,0,Temperley,0,0-0
169,Liga Profesional Argentina 2017,Jornada 12,12,06 Dic 16,06,Dic,16,Lanús,1,Gimnasia La Plata,0,1-0
170,Liga Profesional Argentina 2017,Jornada 12,12,04 Dic 16,04,Dic,16,Unión Santa Fe,2,Rosario Central,0,2-0
171,Liga Profesional Argentina 2017,Jornada 12,12,04 Dic 16,04,Dic,16,Olimpo,1,San Lorenzo,2,1-2
172,Liga Profesional Argentina 2017,Jornada 12,12,04 Dic 16,04,Dic,16,Boca Juniors,4,Racing Club,2,4-2
173,Liga Profesional Argentina 2017,Jornada 12,12,05 Dic 16,05,Dic,16,Independiente,1,River Plate,0,1-0
174,Liga Profesional Argentina 2017,Jornada 12,12,03 Dic 16,03,Dic,16,CA Huracán,1,Colón,3,1-3
175,Liga Profesional Argentina 2017,Jornada 12,12,03 Dic 16,03,Dic,16,Newell's Old Boys,0,Banfield,2,0-2
176,Liga Profesional Argentina 2017,Jornada 12,12,04 Dic 16,04,Dic,16,Estudiantes La Plata,0,Talleres Córdoba,0,0-0
177,Liga Profesional Argentina 2017,Jornada 12,12,05 Dic 16,05,Dic,16,Arsenal de Sarandí,0,San Martín San Juan,0,0-0
178,Liga Profesional Argentina 2017,Jornada 12,12,03 Dic 16,03,Dic,16,Atletico Rafaela,0,Defensa y Justicia,1,0-1
179,Liga Profesional Argentina 2017,Jornada 12,12,04 Dic 16,04,Dic,16,Patronato,0,Vélez Sarsfield,0,0-0
180,Liga Profesional Argentina 2017,Jornada 13,13,09 Dic 16,09,Dic,16,Aldosivi,1,Patronato,1,1-1
181,Liga Profesional Argentina 2017,Jornada 13,13,10 Dic 16,10,Dic,16,Vélez Sarsfield,2,Atletico Rafaela,0,2-0
182,Liga Profesional Argentina 2017,Jornada 13,13,13 Dic 16,13,Dic,16,Defensa y Justicia,2,Arsenal de Sarandí,0,2-0
183,Liga Profesional Argentina 2017,Jornada 13,13,11 Dic 16,11,Dic,16,San Martín San Juan,3,Estudiantes La Plata,2,3-2
184,Liga Profesional Argentina 2017,Jornada 13,13,10 Dic 16,10,Dic,16,Talleres Córdoba,1,Newell's Old Boys,1,1-1
185,Liga Profesional Argentina 2017,Jornada 13,13,11 Dic 16,11,Dic,16,Banfield,1,CA Huracán,0,1-0
186,Liga Profesional Argentina 2017,Jornada 13,13,11 Dic 16,11,Dic,16,Colón,0,Independiente,2,0-2
187,Liga Profesional Argentina 2017,Jornada 13,13,11 Dic 16,11,Dic,16,River Plate,2,Boca Juniors,4,2-4
188,Liga Profesional Argentina 2017,Jornada 13,13,11 Dic 16,11,Dic,16,Racing Club,0,Olimpo,2,0-2
189,Liga Profesional Argentina 2017,Jornada 13,13,10 Dic 16,10,Dic,16,San Lorenzo,3,Unión Santa Fe,2,3-2
190,Liga Profesional Argentina 2017,Jornada 13,13,12 Dic 16,12,Dic,16,Rosario Central,1,Lanús,2,1-2
191,Liga Profesional Argentina 2017,Jornada 13,13,10 Dic 16,10,Dic,16,Gimnasia La Plata,1,Belgrano,1,1-1
192,Liga Profesional Argentina 2017,Jornada 13,13,10 Dic 16,10,Dic,16,Temperley,1,Godoy Cruz,0,1-0
193,Liga Profesional Argentina 2017,Jornada 13,13,12 Dic 16,12,Dic,16,Atl.Tucumán,3,Quilmes,0,3-0
194,Liga Profesional Argentina 2017,Jornada 13,13,09 Dic 16,09,Dic,16,Sarmiento,2,Tigre,0,2-0
195,Liga Profesional Argentina 2017,Jornada 14,14,17 Dic 16,17,Dic,16,Sarmiento,0,Aldosivi,2,0-2
196,Liga Profesional Argentina 2017,Jornada 14,14,20 Dic 16,20,Dic,16,Tigre,0,Atl.Tucumán,0,0-0
197,Liga Profesional Argentina 2017,Jornada 14,14,19 Dic 16,19,Dic,16,Quilmes,1,Temperley,0,1-0
198,Liga Profesional Argentina 2017,Jornada 14,14,17 Dic 16,17,Dic,16,Godoy Cruz,0,Gimnasia La Plata,3,0-3
199,Liga Profesional Argentina 2017,Jornada 14,14,18 Dic 16,18,Dic,16,Belgrano,0,Rosario Central,2,0-2
200,Liga Profesional Argentina 2017,Jornada 14,14,18 Dic 16,18,Dic,16,Lanús,2,San Lorenzo,2,2-2
201,Liga Profesional Argentina 2017,Jornada 14,14,17 Dic 16,17,Dic,16,Unión Santa Fe,1,Racing Club,0,1-0
202,Liga Profesional Argentina 2017,Jornada 14,14,19 Dic 16,19,Dic,16,Olimpo,1,River Plate,2,1-2
203,Liga Profesional Argentina 2017,Jornada 14,14,18 Dic 16,18,Dic,16,Boca Juniors,4,Colón,1,4-1
204,Liga Profesional Argentina 2017,Jornada 14,14,18 Dic 16,18,Dic,16,Independiente,0,Banfield,1,0-1
205,Liga Profesional Argentina 2017,Jornada 14,14,16 Dic 16,16,Dic,16,CA Huracán,1,Talleres Córdoba,0,1-0
206,Liga Profesional Argentina 2017,Jornada 14,14,18 Dic 16,18,Dic,16,Newell's Old Boys,6,San Martín San Juan,1,6-1
207,Liga Profesional Argentina 2017,Jornada 14,14,17 Dic 16,17,Dic,16,Estudiantes La Plata,1,Defensa y Justicia,2,1-2
208,Liga Profesional Argentina 2017,Jornada 14,14,18 Dic 16,18,Dic,16,Arsenal de Sarandí,2,Vélez Sarsfield,1,2-1
209,Liga Profesional Argentina 2017,Jornada 14,14,17 Dic 16,17,Dic,16,Atletico Rafaela,3,Patronato,0,3-0
210,Liga Profesional Argentina 2017,Jornada 15,15,13 Mar 17,13,Mar,17,Aldosivi,1,Atletico Rafaela,0,1-0
211,Liga Profesional Argentina 2017,Jornada 15,15,11 Mar 17,11,Mar,17,Patronato,4,Arsenal de Sarandí,2,4-2
